scope,policy,candidate_id,threshold_kind,threshold_float_hex,comparator_policy,aggregation_level,weighting,pair,seed,task,n_pairs,n_seeds,n_tasks,bootstrap_samples,bootstrap_confidence,n_rows,n_content_groups,receiver_accuracy,fused_accuracy,selector_accuracy,comparator_accuracy,selector_minus_comparator,oracle_accuracy,retrospective_best_fixed_accuracy,oracle_headroom_over_best_fixed,selector_headroom_below_oracle,oracle_headroom_recovery,transfer_rate,abstention_rate,harmful_event_rate,accepted_harmful_rate,harmful_reduction,beneficial_event_rate,accepted_beneficial_rate,beneficial_retention,benefit_auprc_pooled,harm_auprc_pooled,multiclass_brier,ece_multiclass_macro,ece_harm,ece_neutral,ece_benefit,benefit_auprc_cell_macro,benefit_auprc_undefined_cell_count,harm_auprc_cell_macro,harm_auprc_undefined_cell_count,benefit_prevalence,harm_prevalence,receiver_accuracy_bootstrap_undefined,receiver_accuracy_ci_low,receiver_accuracy_ci_high,fused_accuracy_bootstrap_undefined,fused_accuracy_ci_low,fused_accuracy_ci_high,selector_accuracy_bootstrap_undefined,selector_accuracy_ci_low,selector_accuracy_ci_high,comparator_accuracy_bootstrap_undefined,comparator_accuracy_ci_low,comparator_accuracy_ci_high,selector_minus_comparator_bootstrap_undefined,selector_minus_comparator_ci_low,selector_minus_comparator_ci_high,oracle_accuracy_bootstrap_undefined,oracle_accuracy_ci_low,oracle_accuracy_ci_high,oracle_headroom_recovery_bootstrap_undefined,oracle_headroom_recovery_ci_low,oracle_headroom_recovery_ci_high,transfer_rate_bootstrap_undefined,transfer_rate_ci_low,transfer_rate_ci_high,harmful_reduction_bootstrap_undefined,harmful_reduction_ci_low,harmful_reduction_ci_high,beneficial_retention_bootstrap_undefined,beneficial_retention_ci_low,beneficial_retention_ci_high
global_test,selected,stump_cot_input_length,always_fused,,always_fused,pair_seed_task,single_task,tinyllama,42,ai2-arc,1,1,1,10000,0.95,453,453,0.40176600441501104,0.5386313465783664,0.5386313465783664,0.5386313465783664,0.0,0.6512141280353201,0.5386313465783664,0.11258278145695366,0.11258278145695366,0.0,1.0,0.0,0.11258278145695365,0.11258278145695365,0.0,0.24944812362030905,0.24944812362030905,1.0,0.23927237105749,0.10785987092317639,0.5314510609262638,0.06192645643018443,0.039306015081282064,0.08443991206459778,0.06203344214467342,0.23927237105749,0,0.10785987092317639,0,0.24944812362030905,0.11258278145695365,0,0.3576158940397351,0.4481236203090508,0,0.49448123620309054,0.5827814569536424,0,0.49448123620309054,0.5827814569536424,0,0.49448123620309054,0.5827814569536424,0,0.0,0.0,0,0.6070640176600441,0.6931567328918322,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,same_rate_random,same_rate_random,,,always_fused,pair_seed_task,single_task,tinyllama,42,ai2-arc,1,1,1,10000,0.95,453,453,0.40176600441501104,0.5386313465783664,0.5386313465783664,0.5386313465783664,0.0,0.6512141280353201,0.5386313465783664,0.11258278145695366,0.11258278145695366,0.0,1.0,0.0,0.11258278145695365,0.11258278145695365,0.0,0.24944812362030905,0.24944812362030905,1.0,,,,,,,,,,,,,,0,0.3576158940397351,0.4481236203090508,0,0.49448123620309054,0.5827814569536424,0,0.49448123620309054,0.5827814569536424,0,0.49448123620309054,0.5827814569536424,0,0.0,0.0,0,0.6070640176600441,0.6931567328918322,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,selected,stump_cot_input_length,always_fused,,always_fused,pair_seed_task,single_task,tinyllama,42,openbookqa,1,1,1,10000,0.95,195,195,0.40512820512820513,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.0,0.6051282051282051,0.48717948717948717,0.11794871794871792,0.11794871794871792,0.0,1.0,0.0,0.11794871794871795,0.11794871794871795,0.0,0.2,0.2,1.0,0.18885523924894004,0.12970795038580044,0.48445206850469824,0.03549566544522445,0.04047208708674632,0.02463531067965119,0.04137959856927584,0.18885523924894004,0,0.12970795038580044,0,0.2,0.11794871794871795,0,0.3384615384615385,0.4717948717948718,0,0.4153846153846154,0.5538461538461539,0,0.4153846153846154,0.5538461538461539,0,0.4153846153846154,0.5538461538461539,0,0.0,0.0,0,0.5333333333333333,0.6717948717948717,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,same_rate_random,same_rate_random,,,always_fused,pair_seed_task,single_task,tinyllama,42,openbookqa,1,1,1,10000,0.95,195,195,0.40512820512820513,0.48717948717948717,0.48717948717948717,0.48717948717948717,0.0,0.6051282051282051,0.48717948717948717,0.11794871794871792,0.11794871794871792,0.0,1.0,0.0,0.11794871794871795,0.11794871794871795,0.0,0.2,0.2,1.0,,,,,,,,,,,,,,0,0.3384615384615385,0.4717948717948718,0,0.4153846153846154,0.5538461538461539,0,0.4153846153846154,0.5538461538461539,0,0.4153846153846154,0.5538461538461539,0,0.0,0.0,0,0.5333333333333333,0.6717948717948717,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,selected,stump_cot_input_length,always_fused,,always_fused,pair_seed_task,single_task,tinyllama,42,mmlu-redux,1,1,1,10000,0.95,2296,2279,0.3645470383275261,0.4817073170731707,0.4817073170731707,0.4817073170731707,0.0,0.5966898954703833,0.4817073170731707,0.1149825783972126,0.1149825783972126,0.0,1.0,0.0,0.11498257839721254,0.11498257839721254,0.0,0.23214285714285715,0.23214285714285715,1.0,0.22503250372383893,0.11237908333739928,0.5159774548408502,0.052456379028529475,0.04205159893802492,0.0708289140902707,0.04448862405729279,0.22503250372383893,0,0.11237908333739928,0,0.23214285714285715,0.11498257839721254,0,0.34494773519163763,0.38417832167832167,0,0.4611353711790393,0.5023903170870164,0,0.4611353711790393,0.5023903170870164,0,0.4611353711790393,0.5023903170870164,0,0.0,0.0,0,0.576351238047054,0.6166593981683384,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,same_rate_random,same_rate_random,,,always_fused,pair_seed_task,single_task,tinyllama,42,mmlu-redux,1,1,1,10000,0.95,2296,2279,0.3645470383275261,0.4817073170731707,0.4817073170731707,0.4817073170731707,0.0,0.5966898954703833,0.4817073170731707,0.1149825783972126,0.1149825783972126,0.0,1.0,0.0,0.11498257839721254,0.11498257839721254,0.0,0.23214285714285715,0.23214285714285715,1.0,,,,,,,,,,,,,,0,0.34494773519163763,0.38417832167832167,0,0.4611353711790393,0.5023903170870164,0,0.4611353711790393,0.5023903170870164,0,0.4611353711790393,0.5023903170870164,0,0.0,0.0,0,0.576351238047054,0.6166593981683384,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,selected,stump_cot_input_length,always_fused,,always_fused,pair_seed_task,single_task,tinyllama,43,ai2-arc,1,1,1,10000,0.95,453,453,0.40176600441501104,0.49448123620309054,0.49448123620309054,0.49448123620309054,0.0,0.5894039735099338,0.49448123620309054,0.09492273730684325,0.09492273730684325,0.0,1.0,0.0,0.09492273730684327,0.09492273730684327,0.0,0.18763796909492272,0.18763796909492272,1.0,0.19200210978089602,0.09260673535284894,0.4419318925396506,0.014430647287447704,0.021645970931171682,0.004969713389101127,0.016676257542070305,0.19200210978089602,0,0.09260673535284894,0,0.18763796909492272,0.09492273730684327,0,0.3576158940397351,0.4481236203090508,0,0.4481236203090508,0.5408388520971302,0,0.4481236203090508,0.5408388520971302,0,0.4481236203090508,0.5408388520971302,0,0.0,0.0,0,0.543046357615894,0.6335540838852097,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,same_rate_random,same_rate_random,,,always_fused,pair_seed_task,single_task,tinyllama,43,ai2-arc,1,1,1,10000,0.95,453,453,0.40176600441501104,0.49448123620309054,0.49448123620309054,0.49448123620309054,0.0,0.5894039735099338,0.49448123620309054,0.09492273730684325,0.09492273730684325,0.0,1.0,0.0,0.09492273730684327,0.09492273730684327,0.0,0.18763796909492272,0.18763796909492272,1.0,,,,,,,,,,,,,,0,0.3576158940397351,0.4481236203090508,0,0.4481236203090508,0.5408388520971302,0,0.4481236203090508,0.5408388520971302,0,0.4481236203090508,0.5408388520971302,0,0.0,0.0,0,0.543046357615894,0.6335540838852097,0,0.0,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,selected,stump_cot_input_length,always_fused,,always_fused,pair_seed_task,single_task,tinyllama,43,openbookqa,1,1,1,10000,0.95,195,195,0.40512820512820513,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.0,0.5384615384615384,0.4307692307692308,0.10769230769230764,0.10769230769230764,0.0,1.0,0.0,0.1076923076923077,0.1076923076923077,0.0,0.13333333333333333,0.13333333333333333,1.0,0.13367655966081163,0.12887427533096826,0.40391299009652387,0.05500229538250783,0.030215676830336075,0.05228776624342568,0.08250344307376173,0.13367655966081163,0,0.12887427533096826,0,0.13333333333333333,0.1076923076923077,0,0.3384615384615385,0.4717948717948718,0,0.3641025641025641,0.5025641025641026,0,0.3641025641025641,0.5025641025641026,0,0.3641025641025641,0.5025641025641026,0,0.0,0.0,0,0.4666666666666667,0.6051282051282051,0,-0.44444444444444403,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
global_test,same_rate_random,same_rate_random,,,always_fused,pair_seed_task,single_task,tinyllama,43,openbookqa,1,1,1,10000,0.95,195,195,0.40512820512820513,0.4307692307692308,0.4307692307692308,0.4307692307692308,0.0,0.5384615384615384,0.4307692307692308,0.10769230769230764,0.10769230769230764,0.0,1.0,0.0,0.1076923076923077,0.1076923076923077,0.0,0.13333333333333333,0.13333333333333333,1.0,,,,,,,,,,,,,,0,0.3384615384615385,0.4717948717948718,0,0.3641025641025641,0.5025641025641026,0,0.3641025641025641,0.5025641025641026,0,0.3641025641025641,0.5025641025641026,0,0.0,0.0,0,0.4666666666666667,0.6051282051282051,0,-0.44444444444444403,0.0,0,1.0,1.0,0,0.0,0.0,0,1.0,1.0
