aggregation_level,weighting,pair,seed,task,n_pairs,n_seeds,n_tasks,n_unique_samples,n_repeated_observations,bootstrap_samples,bootstrap_confidence,bootstrap_level,receiver_correct_fused_correct_rate,receiver_correct_fused_correct_rate_ci_low,receiver_correct_fused_correct_rate_ci_high,beneficial_transfer_rate,beneficial_transfer_rate_ci_low,beneficial_transfer_rate_ci_high,harmful_transfer_rate,harmful_transfer_rate_ci_low,harmful_transfer_rate_ci_high,receiver_wrong_fused_wrong_rate,receiver_wrong_fused_wrong_rate_ci_low,receiver_wrong_fused_wrong_rate_ci_high,receiver_accuracy,receiver_accuracy_ci_low,receiver_accuracy_ci_high,fused_accuracy,fused_accuracy_ci_low,fused_accuracy_ci_high,oracle_accuracy,oracle_accuracy_ci_low,oracle_accuracy_ci_high,best_fixed_accuracy,best_fixed_accuracy_ci_low,best_fixed_accuracy_ci_high,oracle_headroom_over_fused,oracle_headroom_over_fused_ci_low,oracle_headroom_over_fused_ci_high,oracle_headroom_over_receiver,oracle_headroom_over_receiver_ci_low,oracle_headroom_over_receiver_ci_high,oracle_headroom_over_best_fixed,oracle_headroom_over_best_fixed_ci_low,oracle_headroom_over_best_fixed_ci_high,fused_minus_receiver,fused_minus_receiver_ci_low,fused_minus_receiver_ci_high,mean_transfer_utility,mean_transfer_utility_ci_low,mean_transfer_utility_ci_high,best_fixed_policy
pair_seed_task,single_task,tinyllama,44,ai2-arc,1,1,1,1150,1150,10000,0.95,synchronous_task_stratified_paired_examples,0.2921739130434783,0.26608695652173914,0.3191304347826087,0.2391304347826087,0.21478260869565216,0.2643478260869565,0.10956521739130434,0.09217391304347826,0.12782608695652173,0.3591304347826087,0.331304347826087,0.3869565217391304,0.4017391304347826,0.3739130434782609,0.4304347826086956,0.531304347826087,0.5026086956521739,0.56,0.6408695652173914,0.6130434782608696,0.6686956521739129,0.531304347826087,0.5026086956521739,0.56,0.10956521739130431,0.09217391304347822,0.12782608695652176,0.23913043478260876,0.21478260869565213,0.26434782608695656,0.10956521739130431,0.09217391304347822,0.12782608695652176,0.12956521739130444,0.09652173913043477,0.1634782608695653,0.12956521739130436,0.09652173913043477,0.16347826086956524,fused
pair_seed_task,single_task,tinyllama,44,openbookqa,1,1,1,500,500,10000,0.95,synchronous_task_stratified_paired_examples,0.234,0.198,0.272,0.24,0.204,0.276,0.162,0.13,0.196,0.364,0.322,0.406,0.396,0.354,0.44,0.474,0.43000000000000005,0.518,0.636,0.5940000000000001,0.678,0.474,0.432,0.518,0.16200000000000003,0.13,0.19599999999999995,0.24,0.2039999999999999,0.276,0.16200000000000003,0.13,0.19599999999999995,0.07799999999999996,0.021999999999999964,0.132,0.07799999999999999,0.021999999999999992,0.132,fused
pair_seed_task,single_task,tinyllama,44,mmlu-redux,1,1,1,5615,5615,10000,0.95,synchronous_task_stratified_paired_examples,0.2390026714158504,0.22796081923419412,0.25022261798753337,0.21531611754229743,0.20445235975066786,0.22617987533392697,0.11130899376669635,0.10293855743544078,0.11967943009795191,0.43437221727515585,0.4213713268032057,0.447373107747106,0.35031166518254675,0.33784505788067676,0.36313446126447013,0.4543187889581478,0.441139804096171,0.46731967943009795,0.5656277827248442,0.5526268922528941,0.5786286731967942,0.4543187889581478,0.441139804096171,0.46731967943009795,0.11130899376669634,0.10293855743544078,0.1196794300979519,0.2153161175422974,0.2044523597506679,0.22617987533392692,0.11130899376669634,0.10293855743544078,0.1196794300979519,0.10400712377560106,0.08940338379341056,0.11861086375779162,0.10400712377560108,0.08940338379341052,0.11861086375779162,fused
pair_seed,task_macro,tinyllama,44,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.25505886148644286,0.23935768903170854,0.2713668099165021,0.231482184108302,0.21617442538748435,0.2470145992230955,0.1276247370526669,0.11512205273142591,0.14043466775071947,0.38583421735258816,0.3682741330803877,0.4029747202756591,0.3826835985391097,0.3650818156594009,0.40074884754862106,0.48654104559474487,0.4687742608437544,0.5048801063404185,0.6141657826474117,0.5970252797243408,0.6317258669196123,0.48654104559474487,0.4687742608437544,0.5048801063404185,0.12762473705266686,0.11512205273142587,0.14043466775071947,0.231482184108302,0.21617442538748444,0.24701459922309543,0.12762473705266686,0.11512205273142587,0.14043466775071947,0.10385744705563515,0.08144726857408335,0.1260290171254533,0.10385744705563513,0.08144726857408338,0.12602901712545328,fused
pair_seed,sample_weighted,tinyllama,44,__all__,1,1,3,7265,7265,10000,0.95,synchronous_task_stratified_paired_examples,0.24707501720578112,0.23716448726772194,0.25698554714384036,0.22078458362009637,0.21114934618031658,0.2302821748107364,0.1145216792842395,0.1070887818306951,0.12181693048864418,0.417618719889883,0.4063317274604267,0.42890571231933927,0.36159669649002063,0.3505849965588438,0.37274604267033723,0.4678596008258775,0.45643496214728146,0.4795595320027529,0.582381280110117,0.5710942876806607,0.5936682725395732,0.4678596008258775,0.45643496214728146,0.4795595320027529,0.11452167928423951,0.10708878183069515,0.12181693048864423,0.2207845836200964,0.21114934618031667,0.23028217481073643,0.11452167928423951,0.10708878183069515,0.12181693048864423,0.10626290433585689,0.09318651066758432,0.11920165175498965,0.10626290433585688,0.09318651066758432,0.11920165175498965,fused
pair_across_seeds,task_macro,tinyllama,all,__all__,1,3,3,7265,21795,10000,0.95,seeds_with_synchronous_task_stratified_paired_examples,0.2800155897118226,0.2524085244406588,0.3089706903523602,0.21216955102146165,0.1776586149934828,0.24050387613406118,0.10266800882728716,0.07749321821724935,0.12749988707783239,0.40514685043942855,0.37542974692529063,0.44051749712855054,0.38268359853910977,0.3650818156594009,0.400748847548621,0.49218514073328423,0.47167753300553644,0.5136565686287162,0.5948531495605713,0.5594825028714494,0.6245702530747091,0.49218514073328423,0.47167753300553644,0.5136565686287162,0.1026680088272871,0.07749321821724935,0.1274998870778324,0.21216955102146157,0.17765861499348273,0.24050387613406116,0.1026680088272871,0.07749321821724935,0.1274998870778324,0.10950154219417446,0.08671058951824179,0.13279039903467674,0.10950154219417449,0.08671058951824179,0.13279039903467674,fused
pair_across_seeds,sample_weighted,tinyllama,all,__all__,1,3,3,7265,21795,10000,0.95,seeds_with_synchronous_task_stratified_paired_examples,0.26405138793301214,0.24340330350997935,0.2891488873594861,0.20729525120440465,0.17269786648313834,0.2328974535443909,0.09754530855700849,0.07281486579490709,0.1164498738242716,0.4311080523055747,0.40467882541867395,0.46469373709566414,0.36159669649002063,0.3505849965588438,0.3727460426703372,0.4713466391374168,0.4562973158981417,0.48708419362239047,0.5688919476944253,0.5353062629043359,0.5953211745813259,0.4713466391374168,0.4562973158981417,0.48708419362239047,0.09754530855700849,0.07281486579490715,0.11644987382427162,0.20729525120440467,0.17269786648313828,0.23289745354439084,0.09754530855700849,0.07281486579490715,0.11644987382427162,0.10974994264739618,0.09437829777471901,0.12658866712548744,0.10974994264739615,0.09437829777471898,0.12658866712548747,fused
pair_seed_task,single_task,qwen3_1p7b,42,ai2-arc,1,1,1,1150,1150,10000,0.95,synchronous_task_stratified_paired_examples,0.34608695652173915,0.3182608695652174,0.3739130434782609,0.27391304347826084,0.24782608695652175,0.3008695652173913,0.05565217391304348,0.042608695652173914,0.06869565217391305,0.3243478260869565,0.29739130434782607,0.35043478260869565,0.40173913043478265,0.3739130434782609,0.43043478260869567,0.62,0.5921739130434782,0.6478260869565218,0.6756521739130434,0.6495652173913042,0.702608695652174,0.62,0.5921739130434782,0.6478260869565218,0.055652173913043446,0.042608695652173956,0.06869565217391305,0.2739130434782608,0.24782608695652175,0.3008695652173912,0.055652173913043446,0.042608695652173956,0.06869565217391305,0.21826086956521734,0.1878260869565217,0.24956521739130427,0.21826086956521737,0.18782608695652173,0.24956521739130433,fused
pair_seed_task,single_task,qwen3_1p7b,42,openbookqa,1,1,1,500,500,10000,0.95,synchronous_task_stratified_paired_examples,0.338,0.298,0.38,0.21,0.174,0.246,0.058,0.038,0.078,0.394,0.352,0.436,0.396,0.354,0.44,0.548,0.504,0.592,0.6060000000000001,0.5640000000000001,0.6480000000000001,0.548,0.504,0.592,0.05800000000000005,0.038000000000000034,0.07799999999999996,0.21000000000000008,0.1740000000000001,0.24600000000000005,0.05800000000000005,0.038000000000000034,0.07799999999999996,0.15200000000000002,0.10800000000000004,0.19400000000000006,0.152,0.108,0.194,fused
pair_seed_task,single_task,qwen3_1p7b,42,mmlu-redux,1,1,1,5615,5615,10000,0.95,synchronous_task_stratified_paired_examples,0.28370436331255566,0.27212822796081926,0.29528049866429207,0.19536954585930544,0.1848619768477293,0.20569902048085487,0.0666073018699911,0.06001780943900267,0.07319679430097951,0.4543187889581478,0.4414959928762244,0.46732413178984855,0.35031166518254675,0.33784505788067676,0.36313446126447013,0.4790739091718611,0.4660730186999109,0.4918967052537845,0.5456812110418522,0.5326758682101513,0.5585040071237756,0.4790739091718611,0.4660730186999109,0.4918967052537845,0.06660730186999109,0.0600178094390027,0.07319679430097947,0.19536954585930544,0.18486197684772931,0.2056990204808548,0.06660730186999109,0.0600178094390027,0.07319679430097947,0.12876224398931435,0.11576135351736422,0.14176313446126443,0.12876224398931435,0.1157613535173642,0.14176313446126446,fused
